video_folder,avg_mean_magnitude,avg_variance_magnitude
040-hm3d-HaxA7YrQdEC,8.045463,195.59398
037-hm3d-FnSn2KSrALj,5.0008793,167.03972
046-hm3d-X4qjx5vquwH,7.5432606,199.14037
018-hm3d-dHwjuKfkRUR,9.284238,530.38306
007-hm3d-bxsVRursffK,3.7577097,120.996666
029-hm3d-mv2HUxq3B53,11.44916,249.48157
011-hm3d-bzCsHPLDztK,10.142397,405.01175
001-hm3d-TPhiubUHKcP,7.844736,339.0187
032-hm3d-6s7QHgap2fW,3.1954968,108.94631
012-hm3d-XB4GS9ShBRE,5.2833056,140.33028
084-hm3d-zt1RVoi7PcG,7.0443935,170.09468
088-hm3d-hDBqLgydy1n,11.283722,492.42624
038-hm3d-b28CWbpQvor,12.323752,274.23154
086-hm3d-cYkrGrCg2kB,10.37481,126.72222
013-hm3d-svBbv1Pavdk,4.7679367,135.07765
092-hm3d-eF36g7L6Z9M,11.624858,262.44266
021-hm3d-LT9Jq6dN3Ea,7.9462676,239.30455
000-hm3d-BFRyYbPCCPE,8.691986,113.43923
057-hm3d-q3zU7Yy5E5s,11.900068,145.12488
042-hm3d-hkr2MGpHD6B,8.695247,141.03754
069-hm3d-HMkoS756sz6,6.3712983,151.1137
035-hm3d-BAbdmeyTvMZ,7.019328,197.24248
083-hm3d-LNg5mXe1BDj,8.565783,159.50648
039-hm3d-uSKXQ5fFg6u,5.4325113,123.29531
050-hm3d-cvZr5TUy5C5,7.4832745,253.44142
089-hm3d-AYpsNQsWncn,9.363318,238.83884
049-hm3d-SUHsP6z2gcJ,8.438831,537.1781
030-hm3d-RJaJt8UjXav,4.609849,184.92717
056-hm3d-7UrtFsADwob,7.8683314,182.62328
055-hm3d-W7k2QWzBrFY,7.9084706,166.48106
059-hm3d-T6nG3E2Uui9,8.02212,190.21515
005-hm3d-yZME6UR9dUN,9.911296,322.3211
097-hm3d-QHhQZWdMpGJ,9.551556,215.79005
048-hm3d-kJJyRFXVpx2,2.3424234,54.900764
087-hm3d-mma8eWq3nNQ,10.911685,231.1195
015-hm3d-5jp3fCRSRjc,7.654971,180.83794
058-hm3d-7MXmsvcQjpJ,11.364453,261.4749
073-hm3d-LEFTm3JecaC,5.536765,187.46591
094-hm3d-Qpor2mEya8F,7.757144,159.9111
068-hm3d-p53SfW6mjZe,6.9213805,228.8772
033-hm3d-vd3HHTEpmyA,6.166617,491.7401
024-hm3d-c3WKCnkEdha,8.409402,359.78107
010-hm3d-5cdEh9F2hJL,9.536759,252.66013
017-hm3d-Dd4bFSTQ8gi,7.8587317,106.386795
003-hm3d-c5eTyR3Rxyh,6.367769,183.6589
014-hm3d-rsggHU7g7dh,8.444659,210.1706
098-hm3d-bCPU9suPUw9,5.4773507,138.54968
072-hm3d-a8BtkwhxdRV,8.724333,186.83508
096-hm3d-uLz9jNga3kC,7.024856,145.48015
002-hm3d-wcojb4TFT35,8.1172695,108.942215
019-hm3d-y9hTuugGdiq,5.897023,271.3387
031-hm3d-Nfvxx8J5NCo,5.0371704,154.50717
036-hm3d-rJhMRvNn4DS,6.2107415,522.29944
041-hm3d-GLAQ4DNUx5U,9.681326,587.70746
026-hm3d-tQ5s4ShP627,9.16836,265.47046
016-hm3d-nrA1tAA17Yp,7.8308077,128.60812
006-hm3d-q3hn1WQ12rz,6.1564293,202.63388
025-hm3d-ziup5kvtCCR,5.538283,189.78763
004-hm3d-66seV3BWPoX,9.674955,280.4339
028-hm3d-rXXL6twQiWc,4.781848,106.16614
008-hm3d-SiKqEZx7Ejt,8.874774,206.6113
099-hm3d-q5QZSEeHe5g,6.569972,173.8185
023-hm3d-VBzV5z6i1WS,7.8611403,140.86043
